iter	F1	Logloss
246	0.6669753807	0.59925764
247	0.6674791549	0.5990209825
248	0.6678153435	0.5988079772
249	0.667620098	0.5985395123
250	0.6678025876	0.5982577978
251	0.6683741422	0.5979143906
252	0.6687657696	0.5977174436
253	0.6694928332	0.5973700534
254	0.6697886327	0.5971179256
255	0.6704328537	0.5968352849
256	0.6709365415	0.5965450349
257	0.6709365415	0.5963482157
258	0.6711601806	0.5960720553
259	0.6711068832	0.5957848055
260	0.6719175866	0.5955365827
261	0.6722257579	0.5953597737
262	0.6727732025	0.5949577716
263	0.673070241	0.5945257571
264	0.673392805	0.5942394276
265	0.6739341835	0.5939914741
266	0.674018187	0.5938257825
267	0.6742417483	0.593614144
268	0.6748297508	0.5931398666
269	0.67539224	0.5928715698
270	0.6756574096	0.5925605362
271	0.6760743186	0.592261017
272	0.6764861144	0.5919611047
273	0.6769436391	0.5917444526
274	0.677470094	0.5915048408
275	0.6779720847	0.5912677718
276	0.6780292715	0.5910139526
277	0.6782677885	0.5907097448
278	0.6787396236	0.590575863
279	0.6794946401	0.5902018295
280	0.6798268304	0.5899330276
281	0.6798770142	0.589567128
282	0.6801310071	0.5893498694
283	0.6804509749	0.5891483643
284	0.680908434	0.58885744
285	0.6812143914	0.5885882999
286	0.6816541604	0.5884102084
287	0.6818330209	0.5881530687
288	0.6823805035	0.5879247863
289	0.6820487318	0.5875764274
290	0.6826773847	0.5872102179
291	0.6830791678	0.5869405109
292	0.6839078549	0.5867485483
293	0.6850104745	0.5863757862
294	0.6852828631	0.5861775706
295	0.6853873636	0.5859572802
296	0.6855139102	0.5858190473
297	0.6862342554	0.5855697388
298	0.6865453896	0.5852586828
299	0.6870635483	0.5849545329
300	0.6879205173	0.5846515628
301	0.6880463852	0.584454011
302	0.688916141	0.5841192535
303	0.689029106	0.5839265112
304	0.6892760194	0.5837445005
305	0.6894913362	0.5835207531
306	0.6900349024	0.5831846127
307	0.6906016047	0.5828045182
308	0.6908548244	0.5825194219
309	0.6912913162	0.5822241964
310	0.6918228059	0.5818648176
311	0.6925876883	0.5815838489
312	0.692731746	0.5814230913
313	0.693121922	0.5812446735
314	0.6935210124	0.5809394369
315	0.6937004826	0.5807348213
316	0.6940895324	0.5805055767
317	0.6945945415	0.5801670095
318	0.6952220917	0.5799293093
319	0.6954871484	0.579723843
320	0.6960152039	0.579414641
321	0.6964174823	0.5792062154
322	0.6969579379	0.578918663
323	0.6973800472	0.5786633207
324	0.6974304688	0.578438168
325	0.6975794359	0.578171962
326	0.6980759305	0.5779145471
327	0.6986075235	0.5775802271
328	0.698863333	0.5772399678
329	0.6989957229	0.5769933219
330	0.6992110016	0.5766393593
331	0.6994442835	0.5763504767
332	0.6994295667	0.5762447419
333	0.6994929604	0.576047224
334	0.7002856178	0.5757105123
335	0.7007340845	0.5754608574
336	0.7012049956	0.575221924
337	0.7014032847	0.5749995208
338	0.7016794075	0.5748369896
339	0.701754784	0.5746062746
340	0.7020932829	0.5742997529
341	0.7022028175	0.5739665152
342	0.7029240166	0.5735899959
343	0.7032445084	0.5732881119
344	0.7033900633	0.5730049201
345	0.7040865597	0.5727608918
346	0.7045102304	0.5724528978
347	0.7047599608	0.5721422012
348	0.705323146	0.5718331051
349	0.7056087565	0.5715605602
350	0.7060105049	0.5712875452
351	0.7066217976	0.5708775415
352	0.7067246	0.5706433559
353	0.7070369129	0.570430761
354	0.7074527161	0.5701769712
355	0.7077119905	0.5698514502
356	0.7080298582	0.5695772004
357	0.7084523947	0.5693669917
358	0.7087285523	0.5690807548
359	0.7091758983	0.5688223494
360	0.7094152237	0.568594914
361	0.7097715374	0.5683635089
362	0.7106170321	0.5681000484
363	0.7108323414	0.567844727
364	0.7109759113	0.567573072
365	0.7112391593	0.5674068967
366	0.7120293169	0.566929051
367	0.7124302405	0.5666302865
368	0.7126044382	0.5663337633
369	0.7131452293	0.5661077281
370	0.713022579	0.5659134643
371	0.7132021673	0.565736922
372	0.7136601631	0.5654416452
373	0.7138017452	0.5651969806
374	0.714045395	0.5650092654
375	0.7143523267	0.5646918512
376	0.7145168235	0.5644623953
377	0.7147081736	0.5642567654
378	0.7148946426	0.5640714973
379	0.7150134311	0.5637679897
380	0.7155888283	0.5635789858
381	0.715890435	0.5633193444
382	0.7160531424	0.5631708226
383	0.7165159257	0.5628532743
384	0.7167086851	0.5626884811
385	0.7172032621	0.5624118197
386	0.7179141321	0.5621024865
387	0.7183790664	0.5618113962
388	0.7185939125	0.5615237335
389	0.7188373382	0.561293396
390	0.7192426811	0.5611117885
391	0.7195823565	0.5608816482
392	0.7195894177	0.5607010811
393	0.7199259449	0.5604907082
394	0.7207093642	0.5602815387
395	0.7208048133	0.5600447028
396	0.7209092874	0.559876461
397	0.7214393182	0.5596336198
398	0.721981336	0.5592893393
399	0.7220287883	0.5590320555
400	0.7224558971	0.5588017581
401	0.7227304424	0.558509605
402	0.7231344554	0.5582202588
403	0.7230721451	0.5579996998
404	0.7238454541	0.5576497499
405	0.7243004366	0.55748042
406	0.7243119047	0.5572877942
407	0.7244070888	0.5571029381
408	0.7243956793	0.5568174914
409	0.7247119824	0.5565664129
410	0.7251004969	0.5562571859
411	0.7253291573	0.5560500799
412	0.7260070572	0.5556805872
413	0.7266389505	0.5553205079
414	0.7268092419	0.5550938141
415	0.7273983052	0.554903051
416	0.727256072	0.5547541487
417	0.7278327873	0.5544977861
418	0.7281738582	0.5542903038
419	0.7281554243	0.5540927024
420	0.7282687577	0.5538731087
421	0.728688745	0.5535840896
422	0.7288930263	0.5534181555
423	0.7292638294	0.5532513884
424	0.7294620609	0.5530380945
425	0.7300575668	0.5526993532
426	0.7300938595	0.5525149905
427	0.7305818768	0.5522423964
428	0.7310203975	0.5520081354
429	0.7314944753	0.5517668525
430	0.7319506608	0.5515306488
431	0.7319836187	0.5513466546
432	0.7319860981	0.5510913466
433	0.7324734257	0.5508831106
434	0.732674007	0.5507301373
435	0.7330136777	0.5505197034
436	0.7334612865	0.5503094605
437	0.7332740091	0.5500600788
438	0.7338801252	0.5498158855
439	0.7344642704	0.5496467331
440	0.7348935586	0.5493528709
441	0.7350986761	0.5491445572
442	0.7353518105	0.5489183487
443	0.7357098253	0.5485510208
444	0.7363828279	0.5482169856
445	0.7368241962	0.5479331116
446	0.7368476405	0.5477143148
447	0.7369274609	0.5476005602
448	0.7370834702	0.5473936447
449	0.7371765136	0.5472365065
450	0.7375426973	0.5470161932
451	0.7377406321	0.5467612948
452	0.7383373021	0.5465078707
453	0.7383660223	0.5463566001
454	0.7386056296	0.5461152292
455	0.738890474	0.545895133
456	0.7391239426	0.5457124657
457	0.7392159984	0.5455276526
458	0.7394495068	0.5453660748
459	0.7397392868	0.5451977154
460	0.7403524114	0.5449274576
461	0.7405283798	0.5447346213
462	0.7408261735	0.5445649773
463	0.7409445584	0.5443585432
464	0.7412139573	0.5441899423
465	0.7414332403	0.5438942155
466	0.7415663103	0.5436625223
467	0.7417865205	0.5435126189
468	0.7422853835	0.5432833013
469	0.7425919402	0.5430938613
470	0.742712703	0.5428631861
471	0.7432199518	0.5426289226
472	0.743502598	0.5424497251
473	0.7437928448	0.5422279022
474	0.7441280557	0.5420620218
475	0.7441289366	0.5418446696
476	0.7443599195	0.5416464944
477	0.7449980281	0.5413346033
478	0.745105456	0.541088738
479	0.745026809	0.5408594516
480	0.7450897832	0.54069737
481	0.7453804129	0.5404133959
482	0.7456996324	0.5401468414
483	0.745888216	0.5399599348
484	0.745982496	0.5397410018
485	0.7459823668	0.5396033725
486	0.7462624403	0.5393377309
487	0.7466395283	0.5391046431
488	0.7470114448	0.5389097374
489	0.7471660446	0.5387557984
490	0.7475328153	0.538561118
491	0.7477081025	0.5383463938
492	0.7480668426	0.5381351311
493	0.7481717182	0.5379202987
494	0.7482555305	0.5378279554
495	0.7487791879	0.5375532028
496	0.7491117172	0.5372425504
497	0.7495122565	0.5370725654
498	0.7496749237	0.5368928486
499	0.7497086914	0.5367548391
